,TRMK,PLZL,SBER,ROSN,TATN,TTLK,UTAR,KMAZ,LSRG,MTSS,GMKN,DVEC,IRAO,GLTR,IRKT,MRKC,AFKS,LKOH,RTKM,MAGN,GAZP,NVTK,SNGS,TRNFP,AFLT,VTBR,CHMF,PIKK,NMTP,MGNT
TRMK,0.0005754423934014478,7.666825591097516e-05,7.761227691482522e-05,8.302388392718924e-05,7.999105635549982e-05,9.405972282802041e-05,8.205586268460337e-05,0.00010619204816049572,8.652920680098368e-05,8.233494816810827e-05,8.811765066225188e-05,0.00012475149870264346,8.362256201146091e-05,0.00010718618129332946,0.00012488585674452546,9.062983250028904e-05,9.495064670022571e-05,8.792719424407739e-05,8.535821346401595e-05,9.391001554790815e-05,8.145846194134357e-05,8.743186154243083e-05,0.00010107596779835695,8.333985614591322e-05,0.0001007441885457986,8.657542096891242e-05,0.00010750321506257981,8.197604339650854e-05,0.00011720161666103662,9.311974948299422e-05
PLZL,7.666825591097516e-05,0.00033281479372191135,5.736468051533125e-05,6.136450012736855e-05,5.912288073899548e-05,6.95212943605747e-05,6.064901758362186e-05,7.848852215327671e-05,6.395534960056434e-05,6.0855294866470995e-05,6.512939806609499e-05,9.220615798631368e-05,6.180699425846413e-05,7.922330448181602e-05,9.230546451942425e-05,6.69861984881928e-05,7.017979280082309e-05,6.498862817742564e-05,6.308984659857853e-05,6.941064291938733e-05,6.020746755907704e-05,6.462251854492596e-05,7.470713179686533e-05,6.159804108376535e-05,7.446190756712764e-05,6.398950735348561e-05,7.945763004999354e-05,6.0590021660006e-05,8.662589944396337e-05,6.882654254071081e-05
SBER,7.761227691482522e-05,5.736468051533125e-05,0.00017684205561893234,6.212008503435093e-05,5.9850864447018576e-05,7.037731438230875e-05,6.139579270953958e-05,7.945495620859005e-05,6.47428357982628e-05,6.160460989740304e-05,6.593134039557614e-05,9.334149814488558e-05,6.256802762320613e-05,8.019878595764461e-05,9.344202744551525e-05,6.781100371676552e-05,7.104392095481098e-05,6.578883719851165e-05,6.386667580397867e-05,7.026530048304346e-05,6.094880585207784e-05,6.541821963533472e-05,7.562700535751508e-05,6.235650159507025e-05,7.537876166658353e-05,6.477741413772043e-05,8.043599679111833e-05,6.133607036544665e-05,8.76925295320074e-05,6.967400804007284e-05
ROSN,8.302388392718924e-05,6.136450012736855e-05,6.212008503435093e-05,0.00025260495199904234,6.402403614887423e-05,7.528445514871885e-05,6.567668634600917e-05,8.499504619535023e-05,6.925710593867774e-05,6.590006355714555e-05,7.052848041262292e-05,9.984984355085495e-05,6.693065671353824e-05,8.579074034583714e-05,9.995738237484693e-05,7.253920546288635e-05,7.599754164612008e-05,7.037604101305059e-05,6.831985466144845e-05,7.516463094898509e-05,6.519853280579531e-05,6.997958170571256e-05,8.09001869827103e-05,6.67043817850652e-05,8.063463420934975e-05,6.929409529339898e-05,8.604449098281698e-05,6.561279979144678e-05,9.380699397773094e-05,7.453210994710685e-05
TATN,7.999105635549982e-05,5.912288073899548e-05,5.9850864447018576e-05,6.402403614887423e-05,0.00023150317280639195,7.253434565619153e-05,6.327754460816832e-05,8.189021289479856e-05,6.67271729785377e-05,6.349276194370292e-05,6.795210467751098e-05,9.62023707487456e-05,6.448570796541515e-05,8.265684067252525e-05,9.630598122471284e-05,6.988937878711651e-05,7.32213834036666e-05,6.780523382511046e-05,6.58241590963895e-05,7.241889858409283e-05,6.281685781573433e-05,6.742325700957447e-05,7.79449371674744e-05,6.42676987649398e-05,7.768908492527057e-05,6.676281112768349e-05,8.290132190542805e-05,6.321599180258239e-05,9.038026392975502e-05,7.180948330846382e-05
TTLK,9.405972282802041e-05,6.95212943605747e-05,7.037731438230875e-05,7.528445514871885e-05,7.253434565619153e-05,0.001522365911831765,7.440667217382966e-05,9.629289920838434e-05,7.846301425955725e-05,7.465974150245815e-05,7.990338448765665e-05,0.00011312225066525599,7.582732487790906e-05,9.719435994125384e-05,0.00011324408394381962,8.218138248010178e-05,8.609941338222572e-05,7.973068228446391e-05,7.740118010790869e-05,8.515578914294396e-05,7.386496071280966e-05,7.92815241531302e-05,9.165373630318396e-05,7.557097265673652e-05,9.135288528204396e-05,7.850492037485916e-05,9.748184004279532e-05,7.433429358431624e-05,0.00010627616338225275,8.443919113156035e-05
UTAR,8.205586268460337e-05,6.064901758362186e-05,6.139579270953958e-05,6.567668634600917e-05,6.327754460816832e-05,7.440667217382966e-05,0.0011126713001994625,8.400404208496891e-05,6.844959915174574e-05,6.513169837843359e-05,6.97061499696555e-05,9.868563916707945e-05,6.615027528094051e-05,8.479045879860466e-05,9.879192413662493e-05,7.169343086783179e-05,7.511144440255743e-05,6.955548794509882e-05,6.752327580396376e-05,7.428824507051239e-05,6.443834716094171e-05,6.916365117543514e-05,7.995692709381963e-05,6.592663861662793e-05,7.969447054667114e-05,6.848615722718412e-05,8.50412508169883e-05,6.484778397937809e-05,9.27132465091928e-05,7.366309897977102e-05
KMAZ,0.00010619204816049572,7.848852215327671e-05,7.945495620859005e-05,8.499504619535023e-05,8.189021289479856e-05,9.629289920838434e-05,8.400404208496891e-05,0.0005867215144231995,8.858359283391826e-05,8.428975364700273e-05,9.02097497056639e-05,0.00012771336263272458,8.560793816115419e-05,0.00010973100750766273,0.00012785091061815121,9.278157604376132e-05,9.720497549405942e-05,9.001477145006775e-05,8.73847976431596e-05,9.613963756140959e-05,8.339245778694892e-05,8.950767850443491e-05,0.00010347572464563605,8.531852026156526e-05,0.00010313606825323473,8.86309042237519e-05,0.00011005556832785456,8.39223277184759e-05,0.00011998423045362081,9.533060891185998e-05
LSRG,8.652920680098368e-05,6.395534960056434e-05,6.47428357982628e-05,6.925710593867774e-05,6.67271729785377e-05,7.846301425955725e-05,6.844959915174574e-05,8.858359283391826e-05,0.0006936306044534116,6.86824074953544e-05,7.35062391484241e-05,0.00010406556948401606,6.975651297126044e-05,8.94128817137085e-05,0.00010417764866774223,7.560185833008928e-05,7.920620773692735e-05,7.334736365734516e-05,7.12043637683593e-05,7.833813100346171e-05,6.79512576552184e-05,7.293416557782733e-05,8.431584597757783e-05,6.952068456678718e-05,8.403908139182514e-05,7.221973747925313e-05,8.967734586913596e-05,6.838301526491649e-05,9.776758683556944e-05,7.767890454971635e-05
MTSS,8.233494816810827e-05,6.0855294866470995e-05,6.160460989740304e-05,6.590006355714555e-05,6.349276194370292e-05,7.465974150245815e-05,6.513169837843359e-05,8.428975364700273e-05,6.86824074953544e-05,0.00032257832149540843,6.994323204924221e-05,9.902128525525472e-05,6.637526324592876e-05,8.507884509321188e-05,9.912793171746075e-05,7.19372720165719e-05,7.536691077743929e-05,6.979205759836285e-05,6.775293356952791e-05,7.454091160908655e-05,6.465751257685832e-05,6.939888812740594e-05,8.022887375219938e-05,6.615086595654262e-05,7.996552454717167e-05,6.87190899108195e-05,8.53304900964941e-05,6.506834195724824e-05,9.302857950774747e-05,7.391363929368202e-05
