,TRMK,PLZL,SBER,ROSN,TATN,TTLK,UTAR,KMAZ,LSRG,MTSS,GMKN,DVEC,IRAO,GLTR,IRKT,MRKC,AFKS,LKOH,RTKM,MAGN,GAZP,NVTK,SNGS,TRNFP,AFLT,VTBR,CHMF,PIKK,NMTP,MGNT
TRMK,0.0005314946249121105,2.9119386989799442e-05,3.0189031933830463e-05,3.632077906260229e-05,3.288436327847779e-05,4.882519287889669e-05,3.522394009013908e-05,6.257200613654189e-05,4.0292566632856385e-05,3.554016438511344e-05,4.209238987635754e-05,8.360122302413032e-05,3.699912518343191e-05,6.369843179327251e-05,8.375346052690078e-05,4.493887590853674e-05,4.983467488357068e-05,4.1876588804212164e-05,3.896574541036963e-05,4.8655563564926294e-05,3.454704129023728e-05,4.1315340571631945e-05,5.677511234890404e-05,3.667879873042109e-05,5.639918215393372e-05,4.034493067016698e-05,6.405765427559303e-05,3.513349899020745e-05,7.504665366508044e-05,4.776013422879181e-05
PLZL,2.9119386989799442e-05,0.0002903318151852614,1.4704979023386236e-05,1.7691733057199927e-05,1.601786613321431e-05,2.3782592256374626e-05,1.7157466369965428e-05,3.0478620172577892e-05,1.9626377832625228e-05,1.731149819299557e-05,2.0503065866196408e-05,4.072188315259061e-05,1.8022153240903024e-05,3.102729843725141e-05,4.079603754381849e-05,2.188957993148018e-05,2.4274307649427094e-05,2.0397949867575537e-05,1.8980087541263244e-05,2.3699966370617396e-05,1.6827751171567273e-05,2.0124567683440107e-05,2.7654972109438533e-05,1.7866123270068443e-05,2.7471857737191926e-05,1.9651884184465853e-05,3.120227453714194e-05,1.711341280507267e-05,3.6554980310039934e-05,2.3263805660540876e-05
SBER,3.0189031933830463e-05,1.4704979023386236e-05,0.00013401617850549482,1.8341605007540414e-05,1.660625178602906e-05,2.465620026096256e-05,1.7787713056183263e-05,3.1598193945887756e-05,2.0347315255712605e-05,1.794740294340211e-05,2.125620674613988e-05,4.221772358497502e-05,1.8684162544238875e-05,3.2167026856396134e-05,4.2294601895826696e-05,2.2693651751703345e-05,2.516597787779278e-05,2.1147229512510833e-05,1.9677284727553266e-05,2.457053927144517e-05,1.7445886401075515e-05,2.0863805157118468e-05,2.8670824575856937e-05,1.852240111108062e-05,2.848098384764269e-05,2.0373758534566718e-05,3.2348430368396664e-05,1.7742041267906522e-05,3.7897757542317694e-05,2.4118357032533517e-05
ROSN,3.632077906260229e-05,1.7691733057199927e-05,1.8341605007540414e-05,0.000208220471708331,1.9979176659268804e-05,2.966416426219171e-05,2.140060659641775e-05,3.801615843798363e-05,2.448009407985294e-05,2.159273137620269e-05,2.557359211211991e-05,5.0792639333941444e-05,2.247913550942883e-05,3.870052799681534e-05,5.088513253310299e-05,2.730299908933421e-05,3.0277483703256714e-05,2.5442480321779303e-05,2.3673972478079992e-05,2.956110451912461e-05,2.0989350930946617e-05,2.5101489149365106e-05,3.449420595018726e-05,2.2284518428382026e-05,3.426580633930651e-05,2.4511908299370023e-05,3.891877669372595e-05,2.1345658331265387e-05,4.5595237425287634e-05,2.901707875402089e-05
TATN,3.288436327847779e-05,1.601786613321431e-05,1.660625178602906e-05,1.9979176659268804e-05,0.00018790679574362174,2.685755039199478e-05,1.9375832233207824e-05,3.441933782235488e-05,2.2163960344178815e-05,1.9549779522233643e-05,2.3153999309901135e-05,4.5986998264853806e-05,2.0352318352094968e-05,3.503895716340932e-05,4.6070740410273495e-05,2.4719782004072637e-05,2.7412841875995496e-05,2.3035292391852357e-05,2.143410827923165e-05,2.6764241434481406e-05,1.9003486676402026e-05,2.272656339765608e-05,3.123060762307659e-05,2.0176114565763477e-05,3.102381757146674e-05,2.219276452677131e-05,3.523655670888969e-05,1.932608278511151e-05,4.128133784457922e-05,2.627168754785668e-05
TTLK,4.882519287889669e-05,2.3782592256374626e-05,2.465620026096256e-05,2.966416426219171e-05,2.685755039199478e-05,0.0014769512288126201,2.8768346157843176e-05,5.110425261115692e-05,3.290803077440158e-05,2.9026615106690527e-05,3.4377995178141534e-05,6.827938376634157e-05,3.0218187916811758e-05,5.202423496210844e-05,6.840372025926934e-05,3.670279743756059e-05,4.0701329097351233e-05,3.420174459604241e-05,3.182437993578465e-05,3.973831693895591e-05,2.8215504569435668e-05,3.374335795916911e-05,4.6369772405471387e-05,2.9956568624360453e-05,4.606274003054638e-05,3.295079790231852e-05,5.231762169546738e-05,2.8694480461300685e-05,6.129263521059661e-05,3.900699554118258e-05
UTAR,3.522394009013908e-05,1.7157466369965428e-05,1.7787713056183263e-05,2.140060659641775e-05,1.9375832233207824e-05,2.8768346157843176e-05,0.0010685147114405746,3.68681212748422e-05,2.3740827964716234e-05,2.0940659754761778e-05,2.480130381824538e-05,4.9258769527908065e-05,2.180029566814882e-05,3.7531823787892756e-05,4.934846955610394e-05,2.6478485016695714e-05,2.936314417170063e-05,2.4674151428697006e-05,2.295905015765774e-05,2.8668398681241873e-05,2.035550059232671e-05,2.4343457733837603e-05,3.345252704387508e-05,2.1611555762776888e-05,3.323102479590821e-05,2.3771681437334555e-05,3.77434816659212e-05,2.070104798548338e-05,4.421832220877836e-05,2.8140801766966524e-05
KMAZ,6.257200613654189e-05,3.0478620172577892e-05,3.1598193945887756e-05,3.801615843798363e-05,3.441933782235488e-05,5.110425261115692e-05,3.68681212748422e-05,0.000543500981747675,4.217334089523612e-05,3.719910627048242e-05,4.405717619148274e-05,8.750355642472921e-05,3.8726168362627654e-05,6.66717437731811e-05,8.766290006148188e-05,4.703653034587236e-05,5.2160855162655995e-05,4.383130196847599e-05,4.078458638295001e-05,5.092670534917473e-05,3.615962622909458e-05,4.324385582102325e-05,5.942525799543286e-05,3.839088972863834e-05,5.903178015100167e-05,4.222814917826939e-05,6.70477340232483e-05,3.6773458570102845e-05,7.854967733634768e-05,4.998947921055489e-05
LSRG,4.0292566632856385e-05,1.9626377832625228e-05,2.0347315255712605e-05,2.448009407985294e-05,2.2163960344178815e-05,3.290803077440158e-05,2.3740827964716234e-05,4.217334089523612e-05,0.0006486064848068195,2.3953962173042676e-05,2.837014212836807e-05,5.634696880521281e-05,2.493729729204149e-05,4.293254834514234e-05,5.644957641679183e-05,3.0288665014251934e-05,3.35884185602402e-05,2.82246928653017e-05,2.626279331435417e-05,3.279370113522895e-05,2.3284600242409544e-05,2.7846413271903282e-05,3.8266252199597275e-05,2.4721398241736025e-05,3.801287639715456e-05,2.7192359964210244e-05,4.317466320032339e-05,2.3679870939780295e-05,5.0581215202812956e-05,3.219018449940319e-05
MTSS,3.554016438511344e-05,1.731149819299557e-05,1.794740294340211e-05,2.159273137620269e-05,1.9549779522233643e-05,2.9026615106690527e-05,2.0940659754761778e-05,3.719910627048242e-05,2.3953962173042676e-05,0.0002783537548433921,2.502395848987779e-05,4.9700992051152356e-05,2.1996008672152674e-05,3.786876719871098e-05,4.9791497364847324e-05,2.6716196647903537e-05,2.9626752942898995e-05,2.4895664584796616e-05,2.3165165925252368e-05,2.8925770347722693e-05,2.0538242892228038e-05,2.4562002074403183e-05,3.375284840918768e-05,2.180557434692433e-05,3.352935761615688e-05,2.3985092633913915e-05,3.808232524358856e-05,2.0886892450574107e-05,4.461529391976916e-05,2.839343691158691e-05
