datetime,open,high,low,close,volume
2001-11-01,3.72,3.8,3.72,3.8,2911534
2001-11-02,3.8,3.82,3.64,3.66,8051279
2001-11-05,3.64,3.64,3.54,3.54,16549464
2001-11-06,3.67,3.7,3.56,3.6,3631844
2001-11-08,3.49,3.71,3.47,3.71,16668463
2001-11-09,3.8,3.92,3.76,3.84,13016966
2001-11-12,4.0,4.04,3.76,3.86,12331393
2001-11-13,3.91,4.37,3.91,4.33,24222923
2001-11-14,4.55,4.63,4.27,4.39,21046342
2001-11-15,4.3,4.38,4.18,4.2,10560512
2001-11-16,4.13,4.27,4.13,4.25,3448506
2001-11-19,4.2,4.4,4.2,4.28,5579547
2001-11-20,4.4,4.5,4.36,4.42,7197942
2001-11-21,4.47,4.51,4.41,4.47,8866601
2001-11-22,4.55,4.69,4.55,4.69,20146542
2001-11-23,4.8,4.82,4.66,4.76,10646429
2001-11-26,4.8,4.88,4.78,4.82,9942649
2001-11-27,4.99,5.06,4.92,5.04,13294037
2001-11-28,4.95,4.95,4.8100000000000005,4.85,9652614
2001-11-30,4.8,4.84,4.64,4.7,3796224
2001-12-03,4.5600000000000005,4.74,4.5600000000000005,4.62,8349871
2001-12-04,4.71,4.73,4.59,4.71,15327010
2001-12-05,4.8,4.84,4.7,4.84,7426918
2001-12-06,4.8100000000000005,4.91,4.8100000000000005,4.83,10817825
2001-12-07,4.85,4.95,4.83,4.93,7662814
2001-12-10,4.97,4.97,4.93,4.97,5786074
2001-12-11,4.95,5.05,4.95,4.97,30851660
2001-12-13,5.1,5.12,4.84,4.86,20222907
2001-12-14,4.84,4.84,4.72,4.82,8346537
2001-12-17,4.85,4.85,4.79,4.8100000000000005,5593971
2001-12-18,4.9,4.9,4.86,4.86,5711888
2001-12-19,4.91,4.98,4.88,4.94,19754338
2001-12-20,5.01,5.07,4.95,4.99,28329935
2001-12-21,5.01,5.09,4.95,5.05,14384109
2001-12-24,5.06,5.08,5.04,5.06,12749419
2001-12-25,5.05,5.11,5.01,5.05,5309107
2001-12-26,4.99,5.01,4.95,4.95,4956549
2001-12-27,5.0,5.0,4.96,4.98,5912353
2001-12-28,5.03,5.11,5.03,5.07,18691801
2001-12-29,5.13,5.17,5.11,5.17,6589955
2002-01-03,5.15,5.26,5.14,5.16,14976243
2002-01-04,5.47,5.61,5.37,5.59,16990918
2002-01-08,5.66,5.9,5.66,5.78,15590612
2002-01-09,5.8100000000000005,5.86,5.68,5.74,26255447
2002-01-10,5.65,5.65,5.45,5.49,11912630
2002-01-11,5.4,5.53,5.35,5.53,8488537
2002-01-14,5.4,5.44,5.28,5.28,32425500
2002-01-15,5.02,5.1,4.98,5.04,23960353
2002-01-16,5.2,5.26,5.08,5.24,10298757
