datetime,open,high,low,close,volume
2002-07-01,104.5,105.5,104.5,105.5,210000
2002-07-02,106.5,106.5,103.5,103.5,1244014
2002-07-03,105.0,107.0,105.0,106.0,1446196
2002-07-04,108.5,110.0,108.5,110.0,262200
2002-07-05,110.7,111.5,110.7,111.0,1310146
2002-07-09,111.0,111.5,111.0,111.5,1117523
2002-07-10,112.0,116.0,112.0,116.0,5084230
2002-07-11,116.0,116.0,115.0,115.5,5237750
2002-07-12,116.0,119.0,115.5,118.0,4817850
2002-07-15,117.6,129.1,117.6,124.1,13811799
2002-07-16,124.0,126.0,121.5,123.0,4864204
2002-07-17,124.0,125.0,123.5,123.5,3145976
2002-07-18,123.0,124.0,123.0,124.0,1401922
2002-07-19,122.5,123.0,122.5,123.0,1159764
2002-07-22,119.0,120.0,117.0,120.0,593250
2002-07-23,117.2,118.5,117.0,117.5,1103829
2002-07-24,114.0,116.0,113.0,115.5,333029
2002-07-25,115.5,119.5,111.5,111.5,283604
2002-07-26,111.0,117.0,106.5,117.0,1628350
2002-07-29,121.5,121.5,116.5,116.5,70896
2002-07-30,114.5,114.5,112.0,112.0,406818
2002-07-31,115.5,116.5,115.5,116.5,6097915
2002-08-01,117.4,117.4,116.4,116.4,2979925
2002-08-02,116.8,117.0,116.8,117.0,257245
2002-08-05,116.0,116.9,115.4,115.4,9047109
2002-08-06,113.8,113.8,112.8,113.3,6150006
2002-08-07,113.0,115.5,113.0,115.5,194651
2002-08-08,116.0,116.0,113.5,114.0,472515
2002-08-09,114.0,114.0,113.0,114.0,692992
2002-08-12,114.0,114.0,113.5,113.5,692400
2002-08-14,113.5,113.5,113.0,113.5,2593701
2002-08-15,114.2,114.2,114.2,114.2,788904
2002-08-19,114.0,114.5,114.0,114.5,1241445
2002-08-20,114.0,115.0,113.5,114.5,431873
2002-08-21,111.5,113.0,111.5,113.0,191110
2002-08-22,114.2,114.2,113.7,113.7,432251
2002-08-23,112.4,112.4,112.4,112.4,660695
2002-08-26,111.8,111.8,110.0,111.5,478606
2002-08-27,111.8,112.3,111.8,112.3,123200
2002-08-28,111.0,112.0,111.0,112.0,291550
2002-08-29,121.3,121.3,111.8,111.8,1066690
2002-08-30,113.3,113.7,111.2,112.2,1067305
2002-09-02,111.3,111.8,110.8,110.8,512158
2002-09-03,111.2,111.2,111.1,111.1,222355
2002-09-04,111.1,111.1,105.1,105.1,446324
2002-09-05,111.0,111.0,109.5,109.5,263935
2002-09-06,110.0,110.0,110.0,110.0,165000
2002-09-09,110.0,110.0,110.0,110.0,132000
2002-09-10,110.8,111.3,110.3,110.8,420806
2002-09-11,111.0,111.0,110.0,110.0,805397
2002-09-12,110.0,110.5,110.0,110.0,1551242
2002-09-13,109.3,109.5,109.0,109.0,1246816
2002-09-16,107.6,107.6,107.6,107.6,10755
2002-09-17,108.6,108.6,105.6,105.6,2421331
2002-09-18,105.0,105.0,101.5,104.5,383893
2002-09-19,103.1,103.1,103.1,103.1,71935
2002-09-23,105.0,105.0,104.5,104.5,1225825
2002-09-24,105.0,105.0,104.5,104.5,1238900
2002-09-25,105.0,105.0,104.0,104.0,260280
2002-09-26,105.0,105.5,105.0,105.5,337870
2002-09-27,106.0,106.5,106.0,106.5,1275995
2002-09-30,105.5,105.5,104.5,104.5,754778
2002-10-01,103.5,104.0,103.5,104.0,976951
2002-10-02,104.5,104.5,104.0,104.0,1266446
2002-10-03,104.5,104.5,104.0,104.5,177758
2002-10-04,106.3,107.5,106.0,107.5,2319597
2002-10-07,106.0,109.5,106.0,109.5,3119612
2002-10-08,110.5,112.0,110.0,111.0,3368331
2002-10-09,111.0,111.5,110.5,111.0,2600747
2002-10-10,110.0,110.0,109.5,109.5,405730
2002-10-11,109.1,109.5,109.0,109.5,467747
2002-10-14,112.0,112.0,109.0,111.0,1629275
2002-10-15,108.7,109.5,108.5,109.0,837101
2002-10-16,110.0,110.0,109.5,110.0,2229164
2002-10-17,110.0,110.0,110.0,110.0,253000
2002-10-18,109.9,110.9,109.4,109.9,330585
2002-10-21,111.1,113.1,109.6,109.6,17269186
2002-10-22,111.9,119.6,102.1,102.1,14958807
2002-10-23,114.0,115.0,113.5,113.5,4819909
2002-10-24,111.5,113.5,111.0,113.5,6392538
