Date,TRMK,PLZL,SBER,ROSN,TATN,TTLK,UTAR,KMAZ,LSRG,MTSS,GMKN,DVEC,IRAO,GLTR,IRKT,MRKC,AFKS,LKOH,RTKM,MAGN,GAZP,NVTK,SNGS,TRNFP,AFLT,VTBR,CHMF,PIKK,NMTP,MGNT
2008-01-01,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-02,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-03,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-04,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-07,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-08,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-09,273.08,1153.0,101.85,227.95,154.6,0.3,17.95,131.5,1658.0,375.14,64.11,2.68,0.019,3.3,22.72,1.066,41.55,2079.0,291.87,31.82,352.69,196.0,30.48,489.9,94.14,608.5,566.1,740.0,6.455,1311.0
2008-01-10,274.5,1207.0,103.53,230.38,153.5,0.296,18.23,143.0,1658.0,373.79,65.18,2.77,0.019,3.3,23.1,1.066,42.34,2062.0,292.0,32.115,352.4,197.1,30.33,490.5,95.42,609.0,571.2,744.5,6.395,1310.0
2008-01-11,274.04,1208.0,104.7,223.29,154.2,0.295,18.64,144.2,1658.0,374.95,64.98,2.775,0.019,3.28,23.0,1.066,46.2,2036.0,295.5,32.37,355.91,206.0,30.48,484.3,95.84,609.0,578.2,743.0,6.35,1365.8
2008-01-14,275.7,1254.0,105.0,224.08,158.6,0.296,18.29,152.0,1658.0,380.0,65.88,2.88,0.019,3.28,22.98,1.066,44.75,2004.0,299.0,32.28,363.7,212.0,30.721,490.5,97.1,605.0,592.9,775.0,6.244,1380.0
